153. Danh mục xã, phường cũ
Mã|Tên|Huyện|Tỉnh
153.00000001|Phường Phúc Xá|Quận Ba Đình|Thành phố Hà Nội
153.00000004|Phường Trúc Bạch|Quận Ba Đình|Thành phố Hà Nội
153.00000006|Phường Vĩnh Phúc|Quận Ba Đình|Thành phố Hà Nội
153.00000007|Phường Cống Vị|Quận Ba Đình|Thành phố Hà Nội
153.00000008|Phường Liễu Giai|Quận Ba Đình|Thành phố Hà Nội
153.00000010|Phường Nguyễn Trung Trực|Quận Ba Đình|Thành phố Hà Nội
153.00000013|Phường Quán Thánh|Quận Ba Đình|Thành phố Hà Nội
153.00000016|Phường Ngọc Hà|Quận Ba Đình|Thành phố Hà Nội
153.00000019|Phường Điện Biên|Quận Ba Đình|Thành phố Hà Nội
153.00000022|Phường Đội Cấn|Quận Ba Đình|Thành phố Hà Nội
153.00000025|Phường Ngọc Khánh|Quận Ba Đình|Thành phố Hà Nội
153.00000028|Phường Kim Mã|Quận Ba Đình|Thành phố Hà Nội
153.00000031|Phường Giảng Võ|Quận Ba Đình|Thành phố Hà Nội
153.00000034|Phường Thành Công|Quận Ba Đình|Thành phố Hà Nội
153.00000037|Phường Phúc Tân|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000040|Phường Đồng Xuân|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000043|Phường Hàng Mã|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000046|Phường Hàng Buồm|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000049|Phường Hàng Đào|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000052|Phường Hàng Bồ|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000055|Phường Cửa Đông|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000058|Phường Lý Thái Tổ|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000061|Phường Hàng Bạc|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000064|Phường Hàng Gai|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000067|Phường Chương Dương|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000070|Phường Hàng Trống|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000073|Phường Cửa Nam|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000076|Phường Hàng Bông|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000079|Phường Tràng Tiền|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000082|Phường Trần Hưng Đạo|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000085|Phường Phan Chu Trinh|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000088|Phường Hàng Bài|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000091|Phường Phú Thượng|Quận Tây Hồ|Thành phố Hà Nội
153.00000094|Phường Nhật Tân|Quận Tây Hồ|Thành phố Hà Nội
153.00000097|Phường Tứ Liên|Quận Tây Hồ|Thành phố Hà Nội
153.00000100|Phường Quảng An|Quận Tây Hồ|Thành phố Hà Nội
153.00000103|Phường Xuân La|Quận Tây Hồ|Thành phố Hà Nội
153.00000106|Phường Yên Phụ|Quận Tây Hồ|Thành phố Hà Nội
153.00000109|Phường Bưởi|Quận Tây Hồ|Thành phố Hà Nội
153.00000112|Phường Thụy Khuê|Quận Tây Hồ|Thành phố Hà Nội
153.00000115|Phường Thượng Thanh|Quận Long Biên|Thành phố Hà Nội
153.00000118|Phường Ngọc Thụy|Quận Long Biên|Thành phố Hà Nội
153.00000121|Phường Giang Biên|Quận Long Biên|Thành phố Hà Nội
153.00000124|Phường Đức Giang|Quận Long Biên|Thành phố Hà Nội
153.00000127|Phường Việt Hưng|Quận Long Biên|Thành phố Hà Nội
153.00000130|Phường Gia Thụy|Quận Long Biên|Thành phố Hà Nội
153.00000133|Phường Ngọc Lâm|Quận Long Biên|Thành phố Hà Nội
153.00000136|Phường Phúc Lợi|Quận Long Biên|Thành phố Hà Nội
153.00000139|Phường Bồ Đề|Quận Long Biên|Thành phố Hà Nội
153.00000142|Phường Sài Đồng|Quận Long Biên|Thành phố Hà Nội
153.00000145|Phường Long Biên|Quận Long Biên|Thành phố Hà Nội
153.00000148|Phường Thạch Bàn|Quận Long Biên|Thành phố Hà Nội
153.00000151|Phường Phúc Đồng|Quận Long Biên|Thành phố Hà Nội
153.00000154|Phường Cự Khối|Quận Long Biên|Thành phố Hà Nội
153.00000157|Phường Nghĩa Đô|Quận Cầu Giấy|Thành phố Hà Nội
153.00000160|Phường Nghĩa Tân|Quận Cầu Giấy|Thành phố Hà Nội
153.00000163|Phường Mai Dịch|Quận Cầu Giấy|Thành phố Hà Nội
153.00000166|Phường Dịch Vọng|Quận Cầu Giấy|Thành phố Hà Nội
153.00000167|Phường Dịch Vọng Hậu|Quận Cầu Giấy|Thành phố Hà Nội
153.00000169|Phường Quan Hoa|Quận Cầu Giấy|Thành phố Hà Nội
153.00000172|Phường Yên Hòa|Quận Cầu Giấy|Thành phố Hà Nội
153.00000175|Phường Trung Hòa|Quận Cầu Giấy|Thành phố Hà Nội
153.00000178|Phường Cát Linh|Quận Đống Đa|Thành phố Hà Nội
153.00000181|Phường Văn Miếu|Quận Đống Đa|Thành phố Hà Nội
153.00000184|Phường Quốc Tử Giám|Quận Đống Đa|Thành phố Hà Nội
153.00000187|Phường Láng Thượng|Quận Đống Đa|Thành phố Hà Nội
153.00000190|Phường Ô Chợ Dừa|Quận Đống Đa|Thành phố Hà Nội
153.00000193|Phường Văn Chương|Quận Đống Đa|Thành phố Hà Nội
153.00000196|Phường Hàng Bột|Quận Đống Đa|Thành phố Hà Nội
153.00000199|Phường Láng Hạ|Quận Đống Đa|Thành phố Hà Nội
153.00000202|Phường Khâm Thiên|Quận Đống Đa|Thành phố Hà Nội
153.00000205|Phường Thổ Quan|Quận Đống Đa|Thành phố Hà Nội
153.00000208|Phường Nam Đồng|Quận Đống Đa|Thành phố Hà Nội
153.00000211|Phường Trung Phụng|Quận Đống Đa|Thành phố Hà Nội
153.00000214|Phường Quang Trung|Quận Đống Đa|Thành phố Hà Nội
153.00000217|Phường Trung Liệt|Quận Đống Đa|Thành phố Hà Nội
153.00000220|Phường Phương Liên|Quận Đống Đa|Thành phố Hà Nội
153.00000223|Phường Thịnh Quang|Quận Đống Đa|Thành phố Hà Nội
153.00000226|Phường Trung Tự|Quận Đống Đa|Thành phố Hà Nội
153.00000229|Phường Kim Liên|Quận Đống Đa|Thành phố Hà Nội
153.00000232|Phường Phương Mai|Quận Đống Đa|Thành phố Hà Nội
153.00000235|Phường Ngã Tư Sở|Quận Đống Đa|Thành phố Hà Nội
153.00000238|Phường Khương Thượng|Quận Đống Đa|Thành phố Hà Nội
153.00000241|Phường Nguyễn Du|Quận Hai Bà Trưng|Thành phố Hà Nội
153.00000244|Phường Bạch Đằng|Quận Hai Bà Trưng|Thành phố Hà Nội
153.00000247|Phường Phạm Đình Hổ|Quận Hai Bà Trưng|Thành phố Hà Nội
153.00000256|Phường Lê Đại Hành|Quận Hai Bà Trưng|Thành phố Hà Nội
153.00000259|Phường Đồng Nhân|Quận Hai Bà Trưng|Thành phố Hà Nội
153.00000262|Phường Phố Huế|Quận Hai Bà Trưng|Thành phố Hà Nội
153.00000265|Phường Đống Mác|Quận Hai Bà Trưng|Thành phố Hà Nội
153.00000268|Phường Thanh Lương|Quận Hai Bà Trưng|Thành phố Hà Nội
153.00000271|Phường Thanh Nhàn|Quận Hai Bà Trưng|Thành phố Hà Nội
153.00000274|Phường Cầu Dền|Quận Hai Bà Trưng|Thành phố Hà Nội
153.00000277|Phường Bách Khoa|Quận Hai Bà Trưng|Thành phố Hà Nội
153.00000280|Phường Đồng Tâm|Quận Hai Bà Trưng|Thành phố Hà Nội
153.00000283|Phường Vĩnh Tuy|Quận Hai Bà Trưng|Thành phố Hà Nội
153.00000286|Phường Bạch Mai|Quận Hai Bà Trưng|Thành phố Hà Nội
153.00000289|Phường Quỳnh Mai|Quận Hai Bà Trưng|Thành phố Hà Nội
153.00000292|Phường Quỳnh Lôi|Quận Hai Bà Trưng|Thành phố Hà Nội
153.00000295|Phường Minh Khai|Quận Hai Bà Trưng|Thành phố Hà Nội
153.00000298|Phường Trương Định|Quận Hai Bà Trưng|Thành phố Hà Nội
153.00000301|Phường Thanh Trì|Quận Hoàng Mai|Thành phố Hà Nội
153.00000304|Phường Vĩnh Hưng|Quận Hoàng Mai|Thành phố Hà Nội
153.00000307|Phường Định Công|Quận Hoàng Mai|Thành phố Hà Nội
153.00000310|Phường Mai Động|Quận Hoàng Mai|Thành phố Hà Nội
153.00000313|Phường Tương Mai|Quận Hoàng Mai|Thành phố Hà Nội
153.00000316|Phường Đại Kim|Quận Hoàng Mai|Thành phố Hà Nội
153.00000319|Phường Tân Mai|Quận Hoàng Mai|Thành phố Hà Nội
153.00000322|Phường Hòang Văn Thụ|Quận Hoàng Mai|Thành phố Hà Nội
153.00000325|Phường Giáp Bát|Quận Hoàng Mai|Thành phố Hà Nội
153.00000328|Phường Lĩnh Nam|Quận Hoàng Mai|Thành phố Hà Nội
153.00000331|Phường Thịnh Liệt|Quận Hoàng Mai|Thành phố Hà Nội
153.00000334|Phường Trần Phú|Quận Hoàng Mai|Thành phố Hà Nội
153.00000337|Phường Hòang Liệt|Quận Hoàng Mai|Thành phố Hà Nội
153.00000340|Phường Yên Sở|Quận Hoàng Mai|Thành phố Hà Nội
153.00000343|Phường Nhân Chính|Quận Thanh Xuân|Thành phố Hà Nội
153.00000346|Phường Thượng Đình|Quận Thanh Xuân|Thành phố Hà Nội
153.00000349|Phường Khương Trung|Quận Thanh Xuân|Thành phố Hà Nội
153.00000352|Phường Khương Mai|Quận Thanh Xuân|Thành phố Hà Nội
153.00000355|Phường Thanh Xuân Trung|Quận Thanh Xuân|Thành phố Hà Nội
153.00000358|Phường Phương Liệt|Quận Thanh Xuân|Thành phố Hà Nội
153.00000361|Phường Hạ Đình|Quận Thanh Xuân|Thành phố Hà Nội
153.00000364|Phường Khương Đình|Quận Thanh Xuân|Thành phố Hà Nội
153.00000367|Phường Thanh Xuân Bắc|Quận Thanh Xuân|Thành phố Hà Nội
153.00000370|Phường Thanh Xuân Nam|Quận Thanh Xuân|Thành phố Hà Nội
153.00000373|Phường Kim Giang|Quận Thanh Xuân|Thành phố Hà Nội
153.00000376|Thị trấn Sóc Sơn|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000379|Xã Bắc Sơn|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000382|Xã Minh Trí|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000385|Xã Hồng Kỳ|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000388|Xã Nam Sơn|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000391|Xã Trung Giã|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000394|Xã Tân Hưng|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000397|Xã Minh Phú|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000400|Xã Phù Linh|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000403|Xã Bắc Phú|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000406|Xã Tân Minh|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000409|Xã Quang Tiến|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000412|Xã Hiền Ninh|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000415|Xã Tân Dân|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000418|Xã Tiên Dược|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000421|Xã Việt Long|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000424|Xã Xuân Giang|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000427|Xã Mai Đình|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000430|Xã Đức Hòa|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000433|Xã Thanh Xuân|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000436|Xã Đông Xuân|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000439|Xã Kim Lũ|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000442|Xã Phú Cường|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000445|Xã Phú Minh|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000448|Xã Phù Lỗ|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000451|Xã Xuân Thu|Huyện Sóc Sơn|Thành phố Hà Nội
153.00000454|Thị trấn Đông Anh|Huyện Đông Anh|Thành phố Hà Nội
153.00000457|Xã Xuân Nộn|Huyện Đông Anh|Thành phố Hà Nội
153.00000460|Xã Thụy Lâm|Huyện Đông Anh|Thành phố Hà Nội
153.00000463|Xã Bắc Hồng|Huyện Đông Anh|Thành phố Hà Nội
153.00000466|Xã Nguyên Khê|Huyện Đông Anh|Thành phố Hà Nội
153.00000469|Xã Nam Hồng|Huyện Đông Anh|Thành phố Hà Nội
153.00000472|Xã Tiên Dương|Huyện Đông Anh|Thành phố Hà Nội
153.00000475|Xã Vân Hà|Huyện Đông Anh|Thành phố Hà Nội
153.00000478|Xã Uy Nỗ|Huyện Đông Anh|Thành phố Hà Nội
153.00000481|Xã Vân Nội|Huyện Đông Anh|Thành phố Hà Nội
153.00000484|Xã Liên Hà|Huyện Đông Anh|Thành phố Hà Nội
153.00000487|Xã Việt Hùng|Huyện Đông Anh|Thành phố Hà Nội
153.00000490|Xã Kim Nỗ|Huyện Đông Anh|Thành phố Hà Nội
153.00000493|Xã Kim Chung|Huyện Đông Anh|Thành phố Hà Nội
153.00000496|Xã Dục Tú|Huyện Đông Anh|Thành phố Hà Nội
153.00000499|Xã Đại Mạch|Huyện Đông Anh|Thành phố Hà Nội
153.00000502|Xã Vĩnh Ngọc|Huyện Đông Anh|Thành phố Hà Nội
153.00000505|Xã Cổ Loa|Huyện Đông Anh|Thành phố Hà Nội
153.00000508|Xã Hải Bối|Huyện Đông Anh|Thành phố Hà Nội
153.00000511|Xã Xuân Canh|Huyện Đông Anh|Thành phố Hà Nội
153.00000514|Xã Võng La|Huyện Đông Anh|Thành phố Hà Nội
153.00000517|Xã Tàm Xá|Huyện Đông Anh|Thành phố Hà Nội
153.00000520|Xã Mai Lâm|Huyện Đông Anh|Thành phố Hà Nội
153.00000523|Xã Đông Hội|Huyện Đông Anh|Thành phố Hà Nội
153.00000526|Thị trấn Yên Viên|Huyện Gia Lâm|Thành phố Hà Nội
153.00000529|Xã Yên Thường|Huyện Gia Lâm|Thành phố Hà Nội
153.00000532|Xã Yên Viên|Huyện Gia Lâm|Thành phố Hà Nội
153.00000535|Xã Ninh Hiệp|Huyện Gia Lâm|Thành phố Hà Nội
153.00000538|Xã Đình Xuyên|Huyện Gia Lâm|Thành phố Hà Nội
153.00000541|Xã Dương Hà|Huyện Gia Lâm|Thành phố Hà Nội
153.00000544|Xã Phù Đổng|Huyện Gia Lâm|Thành phố Hà Nội
153.00000547|Xã Trung Mầu|Huyện Gia Lâm|Thành phố Hà Nội
153.00000550|Xã Lệ Chi|Huyện Gia Lâm|Thành phố Hà Nội
153.00000553|Xã Cổ Bi|Huyện Gia Lâm|Thành phố Hà Nội
153.00000556|Xã Đặng Xá|Huyện Gia Lâm|Thành phố Hà Nội
153.00000559|Xã Phú Thị|Huyện Gia Lâm|Thành phố Hà Nội
153.00000562|Xã Kim Sơn|Huyện Gia Lâm|Thành phố Hà Nội
153.00000565|Thị trấn Trâu Quỳ|Huyện Gia Lâm|Thành phố Hà Nội
153.00000568|Xã Dương Quang|Huyện Gia Lâm|Thành phố Hà Nội
153.00000571|Xã Dương Xá|Huyện Gia Lâm|Thành phố Hà Nội
153.00000574|Xã Đông Dư|Huyện Gia Lâm|Thành phố Hà Nội
153.00000577|Xã Đa Tốn|Huyện Gia Lâm|Thành phố Hà Nội
153.00000580|Xã Kiêu Kỵ|Huyện Gia Lâm|Thành phố Hà Nội
153.00000583|Xã Bát Tràng|Huyện Gia Lâm|Thành phố Hà Nội
153.00000586|Xã Kim Lan|Huyện Gia Lâm|Thành phố Hà Nội
153.00000589|Xã Văn Đức|Huyện Gia Lâm|Thành phố Hà Nội
153.00000592|Phường Cầu Diễn|Quận Nam Từ Liêm|Thành phố Hà Nội
153.00000622|Phường Xuân Phương|Quận Nam Từ Liêm|Thành phố Hà Nội
153.00000623|Phường Phương Canh|Quận Nam Từ Liêm|Thành phố Hà Nội
153.00000625|Phường Mỹ Đình 1|Quận Nam Từ Liêm|Thành phố Hà Nội
153.00000626|Phường Mỹ Đình 2|Quận Nam Từ Liêm|Thành phố Hà Nội
153.00000628|Phường Tây Mỗ|Quận Nam Từ Liêm|Thành phố Hà Nội
153.00000631|Phường Mễ Trì|Quận Nam Từ Liêm|Thành phố Hà Nội
153.00000632|Phường Phú Đô|Quận Nam Từ Liêm|Thành phố Hà Nội
153.00000634|Phường Đại Mỗ|Quận Nam Từ Liêm|Thành phố Hà Nội
153.00000637|Phường Trung Văn|Quận Nam Từ Liêm|Thành phố Hà Nội
FALSE|Thị trấn Văn Điển|Huyện Thanh Trì|Thành phố Hà Nội
153.00000643|Xã Tân Triều|Huyện Thanh Trì|Thành phố Hà Nội
153.00000646|Xã Thanh Liệt|Huyện Thanh Trì|Thành phố Hà Nội
153.00000649|Xã Tả Thanh Oai|Huyện Thanh Trì|Thành phố Hà Nội
153.00000652|Xã Hữu Hòa|Huyện Thanh Trì|Thành phố Hà Nội
153.00000655|Xã Tam Hiệp|Huyện Thanh Trì|Thành phố Hà Nội
153.00000658|Xã Tứ Hiệp|Huyện Thanh Trì|Thành phố Hà Nội
153.00000661|Xã Yên Mỹ|Huyện Thanh Trì|Thành phố Hà Nội
153.00000664|Xã Vĩnh Quỳnh|Huyện Thanh Trì|Thành phố Hà Nội
153.00000667|Xã Ngũ Hiệp|Huyện Thanh Trì|Thành phố Hà Nội
153.00000670|Xã Duyên Hà|Huyện Thanh Trì|Thành phố Hà Nội
153.00000673|Xã Ngọc Hồi|Huyện Thanh Trì|Thành phố Hà Nội
153.00000676|Xã Vạn Phúc|Huyện Thanh Trì|Thành phố Hà Nội
153.00000679|Xã Đại áng|Huyện Thanh Trì|Thành phố Hà Nội
153.00000682|Xã Liên Ninh|Huyện Thanh Trì|Thành phố Hà Nội
153.00000685|Xã Đông Mỹ|Huyện Thanh Trì|Thành phố Hà Nội
153.00000595|Phường Thượng Cát|Quận Bắc Từ Liêm|Thành phố Hà Nội
153.00000598|Phường Liên Mạc|Quận Bắc Từ Liêm|Thành phố Hà Nội
153.00000601|Phường Đông Ngạc|Quận Bắc Từ Liêm|Thành phố Hà Nội
153.00000602|Phường Đức Thắng|Quận Bắc Từ Liêm|Thành phố Hà Nội
153.00000604|Phường Thụy Phương|Quận Bắc Từ Liêm|Thành phố Hà Nội
153.00000607|Phường Tây Tựu|Quận Bắc Từ Liêm|Thành phố Hà Nội
153.00000610|Phường Xuân Đỉnh|Quận Bắc Từ Liêm|Thành phố Hà Nội
153.00000611|Phường Xuân Tảo|Quận Bắc Từ Liêm|Thành phố Hà Nội
153.00000613|Phường Minh Khai|Quận Bắc Từ Liêm|Thành phố Hà Nội
153.00000616|Phường Cổ Nhuế 1|Quận Bắc Từ Liêm|Thành phố Hà Nội
153.00000617|Phường Cổ Nhuế 2|Quận Bắc Từ Liêm|Thành phố Hà Nội
153.00000619|Phường Phú Diễn|Quận Bắc Từ Liêm|Thành phố Hà Nội
153.00000620|Phường Phúc Diễn|Quận Bắc Từ Liêm|Thành phố Hà Nội
153.00008973|Thị trấn Chi Đông|Huyện Mê Linh|Thành phố Hà Nội
153.00008974|Xã Đại Thịnh|Huyện Mê Linh|Thành phố Hà Nội
153.00008977|Xã Kim Hoa|Huyện Mê Linh|Thành phố Hà Nội
153.00008980|Xã Thạch Đà|Huyện Mê Linh|Thành phố Hà Nội
153.00008983|Xã Tiến Thắng|Huyện Mê Linh|Thành phố Hà Nội
153.00008986|Xã Tự Lập|Huyện Mê Linh|Thành phố Hà Nội
153.00008989|Thị trấn Quang Minh|Huyện Mê Linh|Thành phố Hà Nội
153.00008992|Xã Thanh Lâm|Huyện Mê Linh|Thành phố Hà Nội
153.00008995|Xã Tam Đồng|Huyện Mê Linh|Thành phố Hà Nội
153.00008998|Xã Liên Mạc|Huyện Mê Linh|Thành phố Hà Nội
153.00009001|Xã Vạn Yên|Huyện Mê Linh|Thành phố Hà Nội
153.00009004|Xã Chu Phan|Huyện Mê Linh|Thành phố Hà Nội
153.00009007|Xã Tiến Thịnh|Huyện Mê Linh|Thành phố Hà Nội
153.00009010|Xã Mê Linh|Huyện Mê Linh|Thành phố Hà Nội
153.00009013|Xã Văn Khê|Huyện Mê Linh|Thành phố Hà Nội
153.00009016|Xã Hòang Kim|Huyện Mê Linh|Thành phố Hà Nội
153.00009019|Xã Tiền Phong|Huyện Mê Linh|Thành phố Hà Nội
153.00009022|Xã Tráng Việt|Huyện Mê Linh|Thành phố Hà Nội
153.00009538|Phường Nguyễn Trãi|Quận Hà Đông|Thành phố Hà Nội
153.00009541|Phường Mộ Lao|Quận Hà Đông|Thành phố Hà Nội
153.00009542|Phường Văn Quán|Quận Hà Đông|Thành phố Hà Nội
153.00009544|Phường Vạn Phúc|Quận Hà Đông|Thành phố Hà Nội
153.00009547|Phường Yết Kiêu|Quận Hà Đông|Thành phố Hà Nội
153.00009550|Phường Quang Trung|Quận Hà Đông|Thành phố Hà Nội
153.00009551|Phường La Khê|Quận Hà Đông|Thành phố Hà Nội
153.00009552|Phường Phú La|Quận Hà Đông|Thành phố Hà Nội
153.00009553|Phường Phúc La|Quận Hà Đông|Thành phố Hà Nội
153.00009556|Phường Hà Cầu|Quận Hà Đông|Thành phố Hà Nội
153.00009562|Phường Yên Nghĩa|Quận Hà Đông|Thành phố Hà Nội
153.00009565|Phường Kiến Hưng|Quận Hà Đông|Thành phố Hà Nội
153.00009568|Phường Phú Lãm|Quận Hà Đông|Thành phố Hà Nội
153.00009571|Phường Phú Lương|Quận Hà Đông|Thành phố Hà Nội
153.00009886|Phường Dương Nội|Quận Hà Đông|Thành phố Hà Nội
153.00010117|Phường Đồng Mai|Quận Hà Đông|Thành phố Hà Nội
153.00010123|Phường Biên Giang|Quận Hà Đông|Thành phố Hà Nội
153.00009574|Phường Lê Lợi|Thị xã Sơn Tây|Thành phố Hà Nội
153.00009577|Phường Phú Thịnh|Thị xã Sơn Tây|Thành phố Hà Nội
153.00009580|Phường Ngô Quyền|Thị xã Sơn Tây|Thành phố Hà Nội
153.00009583|Phường Quang Trung|Thị xã Sơn Tây|Thành phố Hà Nội
153.00009586|Phường Sơn Lộc|Thị xã Sơn Tây|Thành phố Hà Nội
153.00009589|Phường Xuân Khanh|Thị xã Sơn Tây|Thành phố Hà Nội
153.00009592|Xã Đường Lâm|Thị xã Sơn Tây|Thành phố Hà Nội
153.00009595|Phường Viên Sơn|Thị xã Sơn Tây|Thành phố Hà Nội
153.00009598|Xã Xuân Sơn|Thị xã Sơn Tây|Thành phố Hà Nội
153.00009601|Phường Trung Hưng|Thị xã Sơn Tây|Thành phố Hà Nội
153.00009604|Xã Thanh Mỹ|Thị xã Sơn Tây|Thành phố Hà Nội
153.00009607|Phường Trung Sơn Trầm|Thị xã Sơn Tây|Thành phố Hà Nội
153.00009610|Xã Kim Sơn|Thị xã Sơn Tây|Thành phố Hà Nội
153.00009613|Xã Sơn Đông|Thị xã Sơn Tây|Thành phố Hà Nội
153.00009616|Xã Cổ Đông|Thị xã Sơn Tây|Thành phố Hà Nội
153.00009619|Thị trấn Tây Đằng|Huyện Ba Vì|Thành phố Hà Nội
153.00009625|Xã Phú Cường|Huyện Ba Vì|Thành phố Hà Nội
153.00009628|Xã Cổ Đô|Huyện Ba Vì|Thành phố Hà Nội
153.00009631|Xã Tản Hồng|Huyện Ba Vì|Thành phố Hà Nội
153.00009634|Xã Vạn Thắng|Huyện Ba Vì|Thành phố Hà Nội
153.00009637|Xã Châu Sơn|Huyện Ba Vì|Thành phố Hà Nội
153.00009640|Xã Phong Vân|Huyện Ba Vì|Thành phố Hà Nội
153.00009643|Xã Phú Đông|Huyện Ba Vì|Thành phố Hà Nội
153.00009646|Xã Phú Phương|Huyện Ba Vì|Thành phố Hà Nội
153.00009649|Xã Phú Châu|Huyện Ba Vì|Thành phố Hà Nội
153.00009652|Xã Thái Hòa|Huyện Ba Vì|Thành phố Hà Nội
153.00009655|Xã Đồng Thái|Huyện Ba Vì|Thành phố Hà Nội
153.00009658|Xã Phú Sơn|Huyện Ba Vì|Thành phố Hà Nội
153.00009661|Xã Minh Châu|Huyện Ba Vì|Thành phố Hà Nội
153.00009664|Xã Vật Lại|Huyện Ba Vì|Thành phố Hà Nội
153.00009667|Xã Chu Minh|Huyện Ba Vì|Thành phố Hà Nội
153.00009670|Xã Tòng Bạt|Huyện Ba Vì|Thành phố Hà Nội
153.00009673|Xã Cẩm Lĩnh|Huyện Ba Vì|Thành phố Hà Nội
153.00009676|Xã Sơn Đà|Huyện Ba Vì|Thành phố Hà Nội
153.00009679|Xã Đông Quang|Huyện Ba Vì|Thành phố Hà Nội
153.00009682|Xã Tiên Phong|Huyện Ba Vì|Thành phố Hà Nội
153.00009685|Xã Thụy An|Huyện Ba Vì|Thành phố Hà Nội
153.00009688|Xã Cam Thượng|Huyện Ba Vì|Thành phố Hà Nội
153.00009691|Xã Thuần Mỹ|Huyện Ba Vì|Thành phố Hà Nội
153.00009694|Xã Tản Lĩnh|Huyện Ba Vì|Thành phố Hà Nội
153.00009697|Xã Ba Trại|Huyện Ba Vì|Thành phố Hà Nội
153.00009700|Xã Minh Quang|Huyện Ba Vì|Thành phố Hà Nội
153.00009703|Xã Ba Vì|Huyện Ba Vì|Thành phố Hà Nội
153.00009706|Xã Vân Hòa|Huyện Ba Vì|Thành phố Hà Nội
153.00009709|Xã Yên Bài|Huyện Ba Vì|Thành phố Hà Nội
153.00009712|Xã Khánh Thượng|Huyện Ba Vì|Thành phố Hà Nội
153.00009715|Thị trấn Phúc Thọ|Huyện Phúc Thọ|Thành phố Hà Nội
153.00009718|Xã Vân Hà|Huyện Phúc Thọ|Thành phố Hà Nội
153.00009721|Xã Vân Phúc|Huyện Phúc Thọ|Thành phố Hà Nội
153.00009724|Xã Vân Nam|Huyện Phúc Thọ|Thành phố Hà Nội
153.00009727|Xã Xuân Đình|Huyện Phúc Thọ|Thành phố Hà Nội
153.00009733|Xã Sen Phương|Huyện Phúc Thọ|Thành phố Hà Nội
153.00009739|Xã Võng Xuyên|Huyện Phúc Thọ|Thành phố Hà Nội
153.00009742|Xã Thọ Lộc|Huyện Phúc Thọ|Thành phố Hà Nội
153.00009745|Xã Long Xuyên|Huyện Phúc Thọ|Thành phố Hà Nội
153.00009748|Xã Thượng Cốc|Huyện Phúc Thọ|Thành phố Hà Nội
153.00009751|Xã Hát Môn|Huyện Phúc Thọ|Thành phố Hà Nội
153.00009754|Xã Tích Giang|Huyện Phúc Thọ|Thành phố Hà Nội
153.00009757|Xã Thanh Đa|Huyện Phúc Thọ|Thành phố Hà Nội
153.00009760|Xã Trạch Mỹ Lộc|Huyện Phúc Thọ|Thành phố Hà Nội
153.00009763|Xã Phúc Hòa|Huyện Phúc Thọ|Thành phố Hà Nội
153.00009766|Xã Ngọc Tảo|Huyện Phúc Thọ|Thành phố Hà Nội
153.00009769|Xã Phụng Thượng|Huyện Phúc Thọ|Thành phố Hà Nội
153.00009772|Xã Tam Thuấn|Huyện Phúc Thọ|Thành phố Hà Nội
153.00009775|Xã Tam Hiệp|Huyện Phúc Thọ|Thành phố Hà Nội
153.00009778|Xã Hiệp Thuận|Huyện Phúc Thọ|Thành phố Hà Nội
